AnimalNo,WHHeightAtWither,Rumpheight,BLBodylengthcm,Scapuloischiallength,SternumHeight,ChestDepth,RumpWidth,RumpLength,HeartGirth,AbdGirth,CannonBoneDiameter,HockBoneDiameter,ActualBodyWeight
3856,149,160,216,180,63,99,54,43,204,260,21,46,663
8327,155,162,213,183,60,100,54,37,211,241,20,48,663
2226,150,156,205,176,57,105,53,37,206,265,19,44,664
8401,152,157,223,188,62,101,47,43,204,263,19,62,665
2682,152,163,220,173,64,100,49,39,204,250,19,45,665
103,158,159,199,179,64,111,47,32,218,266,23,54,666
2173,150,162,221,173,56,95,43,37,212,253,22,50,666
2254,142,162,218,185,59,102,47,41,210,248,22,55,668
3834,158,168,214,195,74,103,43,43,206,255,20,51,669
8459,145,160,220,175,59,102,52,39,210,258,22,49,670
160,154,163,216,169,69,102,45,36,210,254,22,46,670
2991,158,163,223,177,62,106,50,43,212,260,19,49,671
2794,158,165,210,181,65,102,51,34,217,250,20,45,672
2883,159,169,223,185,67,98,55,39,213,256,23,45,673
8405,145,153,222,183,75,100,45,39,208,264,20,53,673
3234,152,162,220,180,65,104,43,37,207,250,19,44,674
8519,145,151,193,168,55,105,50,41,210,272,20,49,675
2144,150,169,228,187,61,106,43,41,207,255,19,55,675
8679,149,162,227,182,60,98,52,35,204,255,21,46,675
3001,163,170,222,191,64,102,56,48,209,237,21,59,676
2589,159,166,225,183,71,108,50,39,209,268,21,52,678
7382,145,162,224,171,59,95,45,38,206,252,20,52,678
2802,161,164,230,178,72,105,46,37,204,248,19,53,679
2948,153,162,225,185,64,102,49,41,208,252,22,53,680
8616,148,155,201,187,59,98,49,33,217,279,20,45,681
2175,142,158,215,185,60,102,50,38,208,272,22,47,681
196,160,165,225,173,70,106,48,44,210,263,20,54,682
2125,151,158,191,184,60,103,48,33,216,259,20,53,682
7319,150,157,222,176,62,104,43,40,202,257,21,46,682
2195,152,165,222,185,64,107,52,38,212,266,21,54,684
4160,162,169,208,187,66,101,51,45,211,262,20,45,684
3518,152,160,213,175,64,98,42,36,205,252,18,57,684
3733,157,164,227,183,68,104,52,45,211,263,20,61,685
3038,166,172,240,195,74,111,56,43,215,253,22,58,686
3352,163,172,219,184,73,101,50,39,204,261,21,58,692
3138,148,155,212,181,72,98,53,37,207,262,21,57,692
3815,163,175,221,197,72,102,55,46,212,250,21,53,693
2077,147,150,225,185,60,94,47,39,210,258,19,51,695
14,157,170,215,170,61,102,53,46,214,250,22,50,696
2986,148,159,199,184,58,100,57,39,208,262,21,44,696
3278,153,165,230,180,65,98,50,37,210,248,23,49,696
8339,152,160,213,177,60,99,50,34,205,264,19,45,697
2976,156,164,215,175,64,108,49,36,220,265,20,53,698
